ID заявки,Дата создания,Статус,Категория,Адрес,Описание,Срочность,Заявитель ID,Заявитель имя,Исполнитель ID,Исполнитель имя,Дата назначения,Дата выполнения,Комментарии,Фото ссылки,Последнее обновление,История изменений
1,2025-08-08 23:35:45,Уточнение,Электрика,"ул. Пушкина, дом 8",Jehehehehegrjejejwndbdhe,Обычная,48617336,User_48617336,1,User_1,,,[Администратор] Уточнение: Harrison,,2025-08-24 01:13:42,
2,2025-08-08 23:38:02,Отменена,Электрика,"ул. Пушкина, дом 8",Ndjddjkdoeowwkksnsbxbxhdjeksnssk,Средняя,48617336,User_48617336,None,,,,,,2025-08-24 01:13:42,
3,2025-08-08 23:48:14,Отменена,Отопление,"ул. Пушкина, дом 8, кв. 12",Shjsjdjdkdeksknssbsvshhshs,Срочная,48617336,User_48617336,None,,,,,,2025-08-24 01:13:42,
4,2025-08-08 23:48:36,Отменена,Интернет/ТВ,"ул. Пушкина, дом 8, двор",Fhejieosksnsdhshsujfhdhdjsks,Критическая,48617336,User_48617336,None,,,,Хрень,"A,g,A,C,A,g,I,A,A,x,k,B,A,A,I,C,R,G,i,W,j,N,B,U,f,i,p,9,q,h,u,I,K,b,g,j,Z,O,_,_,q,D,w,n,A,A,K,s,-,T,E,b,x,M,2,5,S,N,I,2,3,1,n,d,z,L,X,B,A,Q,A,D,A,g,A,D,e,Q,A,D,N,g,Q",2025-08-24 01:13:42,
5,2025-08-10 08:54:54,В работе,Другое,"ул. Пушкина, дом 8",Xbsjskskalamndfbsjskss and,Критическая,48617336,User_48617336,1,User_1,,,,AgACAgIAAxkBAAICsWiYXltF0TUlMfCtt8Rg_7lHH0ONAAIhAzIbDwnBSEuLN0V23c6AAQADAgADeQADNgQ,2025-08-24 01:13:42,
6,2025-08-10 09:03:51,Отменена,Другое,"ул. Пушкина, дом 8, двор",127273647383832882828282,Средняя,48617336,User_48617336,1,User_1,,,,,2025-08-24 01:13:42,
7,2025-08-10 09:34:02,Закуп,Электрика,"ул. Пушкина, дом 8",Нет электричества в доме,Срочная,48617336,User_48617336,None,,,,"Где деньги зин
[Пользователь] Уточнение: Поалвдвлстстбвбв
[Администратор] Уточнение: Где?
[Пользователь] Уточнение: Поалвлвлалал",,2025-08-24 01:13:42,
8,2025-08-10 09:34:27,В работе,Уборка,"ул. Пушкина, дом 8, двор",Во дворе грязно очень. Попов,Срочная,48617336,User_48617336,1,User_1,,,,,2025-08-24 01:13:42,
9,2025-08-10 09:40:13,Закуп,Лифт,"ул. Пушкина, дом 8",Застрял лифт и не работает,Срочная,48617336,User_48617336,None,,,,На каком этаже застрял?,AgACAgIAAxkBAAIDiWiYaPpxr7jJXHf6LrGnlllUHjAxAAJUAzIbDwnBSDM2vetXIN4kAQADAgADeQADNgQ,2025-08-24 01:13:42,
10,2025-08-10 09:47:55,Закуп,Электрика,"ул. Пушкина, дом 8, двор",Не горят фонари влылылыд,Критическая,48617336,User_48617336,None,,,,,,2025-08-24 01:13:42,
11,2025-08-10 10:09:38,В работе,Электрика,"ул. Пушкина, дом 8",Влвлдадпжпжажвжыжыщылвв,Критическая,48617336,User_48617336,1,User_1,,,"Сталвддввдвьтвтатаа
[Пользователь] Уточнение: Алаладдвбввб
[Пользователь] Уточнение: Алеолкататьп
[Администратор] Уточнение: 1111",,2025-08-24 01:13:42,
12,2025-08-12 19:54:26,Новая,Электрика,"ул. Пушкина, дом 8",Алалалладвдвдвдвдвдв,Критическая,48617336,User_48617336,None,,,,,,2025-08-24 01:13:42,
13,2025-08-12 20:57:34,Новая,Электрика,"ул. Пушкина, дом 8, двор",Nejdjsiwowowkjfhsjjsbdhdjwjshss,Средняя,48617336,User_48617336,None,,,,,,2025-08-24 01:13:42,
14,2025-08-13 11:23:59,Новая,Электрика,"ул. Пушкина, дом 8, двор",Dhhdjejsksmamabxvxhsjsjsjs,Срочная,48617336,User_48617336,None,,,,,,2025-08-24 01:13:42,
15,2025-08-16 14:11:06,Отменена,Электрика,"ул. Пушкина, дом 8",Fhfhdjdjsksksskskskskskks,Критическая,48617336,User_48617336,None,,,,[Администратор] Отмена: Test,,2025-08-24 01:13:42,
